,accuracy,complexity,convexity-qmw,convexity-quw,type,beta
16191,7.862665496101407e-05,8.033147168517519e-05,0.2309090909090913,0.4881818181818177,suboptimal,-1.0
16192,7.610913825197734e-05,8.033147168517519e-05,0.2309090909090913,0.4881818181818177,suboptimal,-1.0
16193,7.687993344058998e-05,8.030011433725857e-05,0.2309090909090913,0.4881818181818177,suboptimal,-1.0
16194,7.57329938799959e-05,8.00517234250198e-05,0.2309090909090913,0.4881818181818177,suboptimal,-1.0
16195,1.0284243962154025e-05,1.656876058249131e-05,0.21454545454545484,0.4740878954086377,suboptimal,-1.0
16196,7.763884215750724e-05,8.033147168517562e-05,0.2309090909090913,0.4881818181818177,suboptimal,-1.0
16197,7.224125021514181e-05,8.092337403424379e-05,0.2309090909090913,0.4881818181818177,suboptimal,-1.0
16198,3.654762655950193e-05,4.3942530596889715e-05,0.2227272727272731,0.47999999999999965,suboptimal,-1.0
16199,7.339167511020593e-05,8.032628884498258e-05,0.23090909090909134,0.4881818181818178,suboptimal,-1.0
16200,7.74997695388521e-05,7.980839540688107e-05,0.23090909090909134,0.4881818181818177,suboptimal,-1.0
16201,7.065068460151481e-05,7.218255979624848e-05,0.2309090909090913,0.4881818181818177,suboptimal,-1.0
16202,6.306381333981577e-05,6.994810743141686e-05,0.2227272727272731,0.47999999999999965,suboptimal,-1.0
16203,6.938726626490419e-05,7.218255979624805e-05,0.2309090909090913,0.47999999999999965,suboptimal,-1.0
16204,7.01869339643146e-05,7.218255979624805e-05,0.2309090909090913,0.47999999999999965,suboptimal,-1.0
16205,3.615429502652897e-05,3.926892999867298e-05,0.2227272727272731,0.47999999999999965,suboptimal,-1.0
16206,4.184779506057697e-06,1.1908394413100848e-05,0.21454545454545487,0.47454545454545427,suboptimal,-1.0
16207,6.496908442831764e-05,7.218255979624848e-05,0.2309090909090913,0.47999999999999965,suboptimal,-1.0
16208,6.847129421249883e-05,7.205051278138174e-05,0.2309090909090913,0.47999999999999965,suboptimal,-1.0
16209,4.03182765055973e-06,1.5321645122638576e-05,0.21454545454545484,0.4745454545454542,suboptimal,-1.0
16210,7.030122215059137e-06,1.3153329514865603e-05,0.21454545454545484,0.4745454545454542,suboptimal,-1.0
16211,6.11330098362168e-05,6.48117641632224e-05,0.2227272727272731,0.47999999999999965,suboptimal,-1.0
16212,6.312997528457802e-05,6.481176416310271e-05,0.22272727272727313,0.4799999999999997,suboptimal,-1.0
16213,6.312997528457802e-05,6.481176416310271e-05,0.22272727272727313,0.4799999999999997,suboptimal,-1.0
16214,6.343631621043939e-05,6.481176416322284e-05,0.2227272727272731,0.47999999999999965,suboptimal,-1.0
16215,6.107321895243716e-05,6.481176416310271e-05,0.22272727272727313,0.4799999999999997,suboptimal,-1.0
16216,1.7834377160048194e-06,1.0614277968302717e-05,0.21454545454545482,0.4749963145852919,suboptimal,-1.0
16217,5.894510031124035e-05,6.492335106333784e-05,0.2227272727272731,0.47999999999999965,suboptimal,-1.0
16218,4.0565221986056275e-05,4.8116353815341566e-05,0.22272727272727313,0.4799999999999997,suboptimal,-1.0
16219,5.682396004489201e-06,9.205369960322229e-06,0.21454545454545484,0.4740883292502458,suboptimal,-1.0
16220,4.371000248762813e-05,4.771300573083075e-05,0.2227272727272731,0.47999999999999965,suboptimal,-1.0
16221,2.926584930001508e-05,3.084949337492848e-05,0.2227272727272731,0.4809090909090905,suboptimal,-1.0
16222,5.683181997177215e-05,5.8150087759994886e-05,0.2227272727272731,0.47999999999999965,suboptimal,-1.0
16223,5.563331234222958e-05,5.844286160300088e-05,0.22272727272727313,0.4799999999999997,suboptimal,-1.0
